,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
73089,2021-fa,PSYC,417,Neurosci of Eating & Drinking,14,16,7,5,9,3,2,6,3,1,2,2,1,4,"Liang, Nu-Chu"
79780,2021-fa,PSYC,421,Principles of Psychophysiology,4,13,5,1,4,3,0,0,1,0,1,0,5,0,"Dolcos, Florin"
92705,2021-fa,PSYC,433,Evolutionary Neuroscience,5,12,3,4,6,3,2,11,1,2,4,2,4,0,"Rhodes, Justin S"
84315,2021-fa,PSYC,453,Cog Neuroscience of Vision,6,6,3,2,4,1,0,1,0,0,1,0,1,0,"Beck, Diane M"
80212,2021-fa,PSYC,465,Personality and Soc Dev,7,43,10,6,22,6,3,9,1,0,3,1,5,1,"Banerjee, Sanchari"
84714,2021-fa,PSYC,468,Psych and Law,12,17,18,15,16,7,5,4,1,5,1,2,3,2,"Spielmann, Julia"
21500,2021-fa,PSYC,475,Personnel Psych,3,36,23,8,3,4,2,0,1,0,0,0,0,0,"Chen, Yueyang"
39641,2021-fa,PSYC,506,Statistical Methods I,0,22,2,0,4,0,0,0,0,0,0,0,1,0,"Koehn, Hans F"
21598,2021-fa,PSYC,514,Seminar in Cognitive Science,2,12,5,4,4,0,0,0,0,0,1,0,0,0,"Hummel, John E"
50958,2021-fa,REHB,330,Disability in American Society,132,98,0,0,30,0,0,20,0,0,8,0,19,1,"Jan, Yih-Kuen"
54058,2021-fa,REHB,402,Medical Aspects of Disability,2,27,0,0,7,0,0,4,0,0,2,0,0,0,"Strauser, David R"
80591,2021-fa,REL,104,Asian Mythology,0,9,4,2,2,2,1,2,0,0,0,0,7,0,"Chmiel, Agata A"
45371,2021-fa,REL,108,Religion & Society in West I,34,14,4,0,1,2,0,1,1,0,0,0,1,0,"Rosenstock, Bruce"
12269,2021-fa,REL,110,World Religions,21,3,0,0,2,0,0,0,0,0,0,0,0,0,"Folkenroth, Emma"
94738,2021-fa,REL,214,Introduction to Islam,3,18,5,3,5,0,0,1,0,0,0,0,0,0,"Ali, Mukhtar"
27215,2021-fa,REL,236,"Religion, Violence & America",0,13,9,4,5,0,0,0,0,0,0,0,0,0,"Ebel, Jonathan H"
22007,2021-fa,RHET,233,Adv Rhetoric & Composition,9,9,1,1,0,0,0,1,0,0,0,0,2,0,"Liu, Meng-Hsien"
25340,2021-fa,RST,100,RST in Modern Society,37,30,28,8,9,7,7,8,4,3,1,2,3,1,"Shinew, Kimberly J"
69081,2021-fa,RST,101,Orientation to RST,0,49,0,0,21,0,0,8,0,0,2,0,1,0,"Schroeder, Jason A"
86015,2021-fa,RST,118,Student-Athlete Transition,0,47,6,7,3,1,2,0,0,0,0,0,0,0,"Santos, Carla A"
12619,2021-fa,RST,120,"Park, Recreation & Environment",21,11,7,5,8,4,1,1,0,0,0,0,3,0,"Wachter, Cynthia J"
24964,2021-fa,RST,130,Foundations of Sport Mgt,0,11,10,6,20,4,4,10,1,1,5,1,8,0,"Raycraft, Michael"
88339,2021-fa,RST,150,Foundations of Tourism,6,7,1,0,2,5,0,1,0,0,1,1,1,0,"Endres, Renata"
86360,2021-fa,RST,199,E-Sports Foundations,0,20,3,1,5,5,0,3,0,0,3,1,10,1,"Raycraft, Michael"
39733,2021-fa,RST,200,Leadership in RST,1,22,0,0,5,0,0,3,0,0,1,0,0,0,"Hardin, Donald R"
61681,2021-fa,RST,205,Sport and the Big Ten,2,31,3,4,4,1,1,0,1,1,1,0,2,1,"Sherman, Edward J"
96509,2021-fa,RST,210,Management in RST,6,26,5,5,3,3,1,5,0,0,1,0,1,0,"Chung, Wonock"
89381,2021-fa,RST,216,Technology in RST,17,37,22,9,10,6,2,6,5,2,2,2,4,0,"Park, Jeongeun"
60574,2021-fa,RST,230,Diversity in RST,216,83,23,17,41,9,5,14,2,1,5,0,21,1,"Stodolska, Monika"
21944,2021-fa,RST,242,Nature and American Culture,0,456,0,0,36,0,0,17,0,0,3,0,9,1,"Jang, Incheol"
79864,2021-fa,RST,255,Ethical Issues in RST,0,20,0,0,7,0,0,0,0,0,1,0,3,0,"Hardin, Donald R"
29386,2021-fa,RST,260,Disability in RST,25,12,5,6,4,3,6,4,4,1,1,0,13,3,"Wachter, Cynthia J"
52845,2021-fa,RST,316,Human Development and RST,14,18,5,3,5,5,2,1,1,1,1,0,5,0,"Wachter, Cynthia J"
90767,2021-fa,RST,325,Marketing in RST,9,12,13,8,5,8,2,3,1,0,0,1,3,0,"Zou, Suiwen"
28983,2021-fa,RST,340,Facility Management in RST,27,12,5,1,1,4,2,0,2,0,0,0,1,0,"Deterding, Robyn M"
97763,2021-fa,RST,354,Legal Aspects of Sport,3,20,14,3,8,4,0,0,1,0,0,0,0,0,"Emkes, Kyle J"
33010,2021-fa,RST,360,Communication in RST,22,9,16,5,1,2,2,1,0,0,1,0,1,0,"Milazzo, Liselle A"
66886,2021-fa,RST,370,Research Methods & Analysis,10,27,0,3,13,0,1,3,0,1,0,0,0,0,"Lee, Wonju"
13284,2021-fa,RST,410,Strategic Thinking in RST,1,6,14,9,10,9,1,1,0,0,0,0,1,0,"Sato, Mikihiro"
69385,2021-fa,RST,429,Contemporary Issues in RST,0,14,5,5,15,4,0,3,2,0,0,1,4,0,"Stewart, William P"
97072,2021-fa,RST,430,Sport & Development,11,13,16,16,10,4,5,4,1,0,0,0,1,0,"Welty-Peachey, Jon"
50415,2021-fa,RST,460,Event Management in RST,22,25,15,3,3,0,2,1,1,0,0,1,0,0,"Deterding, Robyn M"
98052,2021-fa,RST,465,Event Implementation in RST,0,7,6,3,6,2,0,1,1,0,1,0,1,0,"Raycraft, Michael"
91519,2021-fa,SBC,500,SBC Essentials,0,57,8,2,3,0,1,0,0,0,0,0,0,0,"Meron, Shachar"
33858,2021-fa,SBC,501,Strat Branding: Global Persp,12,32,10,7,4,3,0,0,0,0,0,0,0,0,"Rindfleisch, Aric P"
72999,2021-fa,SBC,502,Essentials of Business Mgmt,8,23,18,6,3,4,1,3,0,0,0,0,0,0,"Raquel, Steve A"
13975,2021-fa,SBC,503,Consumer Insights I,23,15,6,12,1,5,2,0,0,0,0,0,1,0,"Hitchon, Jacqueline C"
55228,2021-fa,SBC,510,Messaging Strategy,33,14,3,5,3,0,1,1,0,0,0,0,0,0,"Mabry-Flynn, Amanda D"
40798,2021-fa,SBC,511,Strat. Analytics & Data Visual,36,10,5,0,4,4,0,0,0,0,1,0,5,0,"Sachdev, Vishal"
20474,2021-fa,SBC,512,Professional SBC Capstone Proj,61,0,0,0,0,0,2,0,0,0,0,0,0,0,"Clifton, Dionne J"
19170,2021-fa,SCAN,215,"Madness, Myth, and Murder",2,7,3,4,3,0,0,3,0,0,0,0,0,0,"Malekin, Bjorn"
69285,2021-fa,SCAN,251,Viking Mythology,2,25,1,1,0,0,0,0,0,0,0,0,1,0,"Hoefig, Verena J"
22205,2021-fa,SE,100,Introduction to ISE,99,15,0,8,1,0,0,1,0,0,0,0,1,0,"Krishnan, Girish"
28021,2021-fa,SE,261,Business Side of Engineering,0,18,11,8,29,12,2,6,1,2,5,0,2,1,"Nagi, Rakesh"
73718,2021-fa,SE,310,Dsgn of Structures & Mechanism,6,11,22,18,9,0,7,5,0,0,0,0,5,2,"Krishnan, Girish"
56569,2021-fa,SE,361,Emotional Intelligence Skills,0,15,2,1,1,1,2,0,1,0,3,0,0,0,"Spencer, Gayle"
80062,2021-fa,SE,400,Engineering Law,0,11,18,14,9,2,1,1,0,0,0,0,0,0,"Barich, Joseph M"
87823,2021-fa,SE,410,Component Design,0,7,7,11,12,3,1,1,1,0,1,0,0,0,"Allison, James"
26696,2021-fa,SE,420,Digital Control Systems,5,6,6,2,3,0,0,1,0,0,0,0,0,0,"Stipanovic, Dusan M"
92981,2021-fa,SE,450,Decision Analysis I,4,7,9,8,9,3,1,2,0,1,0,0,0,0,"Wang, Pingfeng"
37295,2021-fa,SE,494,Senior Engineering Project I,0,33,15,12,8,0,0,0,0,0,0,0,0,0,"Titone, Thomas A"
39223,2021-fa,SE,495,Senior Engineering Project II,5,52,8,3,0,0,0,0,0,0,0,0,0,0,"Titone, Thomas A"
95703,2021-fa,SHS,120,"Child, Comm, & Lang Ability",0,191,0,0,70,0,0,11,0,0,1,0,14,1,"Wachtel, Jayne M"
48842,2021-fa,SHS,121,American Sign Language I,3,8,1,3,3,1,2,0,0,0,1,0,0,0,"Colon, Carlos"
63560,2021-fa,SHS,170,Intro Hum Comm Sys & Disorders,11,64,28,18,8,2,2,0,0,1,0,0,2,0,"Krok, Windi"
31375,2021-fa,SHS,221,American Sign Language II,4,2,1,2,7,0,0,2,2,1,0,0,3,0,"Colon, Carlos"
18897,2021-fa,SHS,222,Lang&Culture Deaf Communities,190,232,41,15,7,5,3,0,0,0,0,0,3,0,"Hadley, Pamela A"
62806,2021-fa,SHS,280,Communication Neuroscience,2,2,16,14,8,16,6,1,3,2,1,0,0,2,"Aronoff, Justin E"
63525,2021-fa,SHS,300,Anat & Physiol Spch Mechanism,20,21,12,8,14,14,2,1,1,3,3,1,1,0,"Ishikawa, Keiko"
18406,2021-fa,SHS,320,Development of Spoken Language,38,58,7,4,10,4,0,1,0,2,1,1,2,0,"Channell, Marie M"
29524,2021-fa,SHS,321,American Sign Language III,8,2,1,0,2,2,0,3,0,0,0,2,1,0,"Dramin Weiss, Susan M"
48263,2021-fa,SHS,333,Child Neurodev Disorders,5,52,13,5,2,0,1,0,0,0,0,0,0,1,"Mattie, Laura J"
77646,2021-fa,SHS,431,Lang Disorders Preschool Child,1,24,4,2,1,0,0,0,0,0,0,0,0,0,"Krok, Windi"
87071,2021-fa,SHS,450,Intro Audiol & Hear Disorders,16,28,6,7,14,3,3,3,0,1,0,1,0,0,"Mertes, Ian B"
52947,2021-fa,SHS,451,Aural Rehab Children to Adults,22,9,8,3,0,0,1,0,0,0,0,0,0,0,"Braun, Sarah"
32244,2021-fa,SHS,470,Neural Bases Spch Lang,0,20,6,3,3,1,0,0,0,0,0,0,0,0,"Fogerty, Daniel"
75453,2021-fa,SHS,511,Asst & Mgmt of Voice Disorders,2,18,7,3,0,0,0,1,0,0,0,0,0,0,"Ishikawa, Keiko"
86905,2021-fa,SHS,534,Aphasia and Related Disorders,0,15,7,0,0,1,0,0,0,0,0,0,0,0,"Franz, Abby L"
96182,2021-fa,SHS,570,Quant Reasoning Spch Hear Sci,0,25,6,3,3,0,0,0,0,0,0,0,0,0,"Flaherty, Mary M"
66829,2021-fa,SHS,577,Advanced Practicum in SHS,10,9,1,0,1,0,0,0,0,0,0,0,0,0,"Hannah, Deidre M"
41329,2021-fa,SLAV,117,Russ & E Euro Science Fiction,0,17,2,0,2,2,0,0,0,0,0,0,0,0,"Tempest, Richard V"
92885,2021-fa,SOC,100,Introduction to Sociology,3,16,7,3,0,0,0,0,0,0,0,0,0,1,"Holmes, Justin R"
29925,2021-fa,SOC,101,Sociology of Gender,3,16,12,2,5,1,1,1,1,0,0,1,2,0,"Miller, Leslie"
73055,2021-fa,SOC,160,Global Ineq and Social Change,0,35,9,5,7,3,4,3,0,0,1,0,2,0,"Leicht, Kevin"
82790,2021-fa,SOC,163,Social Problems,15,22,4,4,3,2,0,1,0,0,1,0,0,0,"Redstone, Ilana"
80582,2021-fa,SOC,170,America's Immigrant Society,5,8,7,9,4,2,2,6,1,0,1,0,0,0,"Buckley, Cynthia"
23085,2021-fa,SOC,199,Career Dev for Sociology Major,23,2,2,0,1,0,0,0,0,0,0,0,1,0,"McNulty, Dawn"
67318,2021-fa,SOC,200,Intro to Sociological Theory,10,19,9,2,4,1,6,1,3,2,3,0,4,1,"Soener, Matthew C"
21272,2021-fa,SOC,225,Race and Ethnicity,0,16,5,0,7,1,0,2,1,0,0,2,1,1,"May, Reuben A"
73821,2021-fa,SOC,226,Political Sociology,10,1,0,4,2,2,0,1,0,0,0,0,2,0,"O'Neill, Brian F"
99815,2021-fa,SOC,275,Criminology,11,19,6,7,10,3,1,7,0,0,1,7,0,0,"Ladegaard, Isak S"
50284,2021-fa,SOC,280,Intro to Social Statistics,6,4,0,2,5,1,5,1,0,0,0,0,1,0,"Xiao, Zihan"
85405,2021-fa,SOC,310,Sociology of Deviance,48,10,2,1,3,0,0,2,0,1,0,0,0,0,"Atiles Osoria, Jose M"
44834,2021-fa,SOC,350,Technology and Society,5,21,9,3,9,2,0,1,0,0,2,0,1,0,"Ladegaard, Isak S"
79045,2021-fa,SOC,364,Impacts of Globalization,0,22,8,3,5,6,0,1,0,0,2,0,2,0,"Dill, Brian"
98290,2021-fa,SOC,378,Sociology of Law,0,42,10,7,6,2,2,0,1,2,1,2,0,0,"Steward, Daniel J"
96798,2021-fa,SOC,380,Social Research Methods,0,18,3,3,0,0,1,1,2,0,1,3,1,0,"Steward, Daniel J"
16917,2021-fa,SOC,396,Health Communication in the US,5,2,1,0,2,4,3,1,2,0,1,1,7,0,"Miller, Leslie"
76509,2021-fa,SOC,479,Law and Society,44,7,3,3,0,2,0,2,0,0,0,0,0,0,"Atiles Osoria, Jose M"
27256,2021-fa,SOCW,101,SOCW Orientation Seminar,9,27,7,0,3,1,1,2,1,0,0,0,1,0,"Wilson Smith, Carol J"
28321,2021-fa,SOCW,200,Introduction to Social Work,1,5,7,7,2,4,0,1,0,0,0,0,0,0,"Earls Larrison, Tara"
99587,2021-fa,SOCW,225,Social Work Statistics,5,13,1,0,6,3,0,0,1,0,1,0,0,0,"Garthe, Rachel C"
39282,2021-fa,SOCW,240,Death & Dying,1,14,4,4,1,0,4,0,0,1,0,0,0,0,"Andrade, Flavia C"
69086,2021-fa,SOCW,297,Asian Families in America,18,13,3,3,0,0,0,0,0,0,2,0,0,0,"Chih, David W"
44883,2021-fa,SOCW,300,Diversity: Identities & Issues,10,20,10,7,4,3,0,1,1,0,0,0,1,0,"Cantoni, Nicole P"
96239,2021-fa,SOCW,315,Social Serv for Older Adults,14,4,5,0,2,1,0,0,0,0,0,0,0,1,"Dunlap Johnson, Kenna E"
22806,2021-fa,SOCW,360,Social Work and the Military,12,12,0,0,0,2,0,1,0,0,0,0,0,0,"Crowell, Dennis J"
40578,2021-fa,SOCW,401,Practice I,21,0,0,0,0,0,0,0,0,0,0,0,2,0,"Maurer, Mary F"
26719,2021-fa,SOCW,403,Practice III,2,26,1,0,1,0,0,0,0,0,0,0,0,0,"Houston, Elisabeth A"
34300,2021-fa,SOCW,410,Social Welfare Pol and Svcs,8,18,1,1,0,0,0,0,0,0,0,0,0,0,"Sinha, Gaurav R"
40423,2021-fa,SOCW,416,Child Welfare Issues & Trends,1,21,2,1,0,0,0,2,0,0,1,0,1,0,"Lindsey, Brenda C"
64828,2021-fa,SOCW,420,Subst Use in Social Context,25,1,1,1,0,0,0,0,0,0,0,0,1,0,"Giers, Daniel R"
15163,2021-fa,SOCW,427,Social Work Research Methods,11,1,5,2,3,3,1,0,2,0,0,0,0,1,"Li, Hong"
87886,2021-fa,SOCW,451,HBSE I: Human Development,8,7,5,4,3,0,0,1,0,0,0,0,1,0,"Cintron, Valerie"
25409,2021-fa,SOCW,455,Social Work with Women,21,6,2,1,1,0,0,0,0,0,0,0,0,0,"Kingery, Linda S"
55138,2021-fa,SOCW,503,Trauma Informed SW w/ Children,0,23,0,0,0,0,0,1,0,0,0,0,0,0,"Leytham Powell, Tara"
50936,2021-fa,SOCW,509,Adv Clin Assess & Interviewing,0,20,0,0,1,0,0,0,0,0,0,0,0,0,"Gulbrandson-And, Heidi J"
72961,2021-fa,SOCW,552,HBSE II: Mental Disorders,0,27,0,0,1,0,0,0,0,0,0,0,0,0,"Hensold, Katherine A"
85500,2021-fa,SOCW,561,Cognitive Behavioral Therapy,12,4,2,1,0,3,0,1,0,0,0,0,1,0,"Cintron, Valerie"
31419,2021-fa,SOCW,589,Social Work and the Law,0,19,3,2,0,0,0,2,0,0,0,0,0,0,"Beidelschies, Jon E"
34926,2021-fa,SPAN,232,Spanish in the Community,12,4,3,0,1,1,0,0,0,0,0,0,0,0,"Abbott, Annie R"
44988,2021-fa,SPAN,248,Latin American Diaspora Film,69,28,26,5,10,2,2,2,1,1,0,1,2,2,"Ledesma, Eduardo"
59928,2021-fa,SPAN,308,Spanish in the United States,0,10,11,0,2,0,0,0,0,0,0,0,1,0,"Callesano, Salvatore J"
99103,2021-fa,SPED,117,The Culture of Disability,0,279,13,7,23,1,1,2,0,0,3,0,5,0,"Bentz, Johnell L"
61466,2021-fa,SPED,405,Gen Educator's Role in SPED,43,19,6,3,3,0,1,1,1,2,0,0,0,0,"Tarconish, Emily J"
19091,2021-fa,SPED,440,Instructional Strategies I,0,23,0,0,5,0,0,0,0,0,0,0,0,0,"Andrews, Laurie G"
88951,2021-fa,SPED,446,Curriculum Development I,0,20,0,0,7,0,0,1,0,0,0,0,0,0,"Mason, Erica N"
90544,2021-fa,SPED,450,Introduction to ECSE,5,9,4,3,1,3,1,0,0,0,0,0,0,0,"Hardy, Jessica K"
54119,2021-fa,SPED,461,AAC and Literacy,0,22,0,0,0,0,0,1,0,0,0,0,0,0,"Light Shriner, Cheryl L"
72706,2021-fa,SPED,470,Learning Environments I,0,25,1,1,0,0,0,0,0,0,0,0,0,0,"Shriner, James G"
35881,2021-fa,SPED,471,Learning Environments II,0,23,0,0,3,0,0,0,0,0,0,0,0,0,"Light Shriner, Cheryl L"
38925,2021-fa,SPED,514,Equity Issues in Spec Educ,0,22,0,2,0,0,0,0,0,0,0,0,1,0,"Bentz, Johnell L"
53958,2021-fa,STAT,100,Statistics,150,78,49,28,37,29,12,18,10,5,5,3,18,3,"Flanagan, Karle A"
20741,2021-fa,STAT,107,Data Science Discovery,127,61,33,16,19,4,2,5,4,2,2,0,12,2,"Flanagan, Karle A"
11621,2021-fa,STAT,200,Statistical Analysis,75,135,34,21,23,6,12,9,3,0,0,1,3,0,"Fireman, Ellen S"
44668,2021-fa,STAT,207,Data Science Exploration,17,3,2,0,2,0,0,1,0,0,0,1,3,1,"Ellison, Victoria M"
80345,2021-fa,STAT,212,Biostatistics,40,41,21,24,16,6,4,1,0,1,0,2,3,1,"Findley, Kelly P"
13232,2021-fa,STAT,385,Statistics Programming Methods,42,24,3,3,1,2,0,1,1,1,1,1,0,0,"Dalpiaz, David M"
21690,2021-fa,STAT,400,Statistics and Probability I,7,76,16,18,14,11,12,6,5,5,1,3,10,3,"Nguyen, Ha Khanh"
74335,2021-fa,STAT,409,Actuarial Statistics II,4,6,6,0,4,1,0,1,2,0,0,0,1,1,"Stepanov, Alexey G"
14217,2021-fa,STAT,410,Statistics and Probability II,9,20,6,5,13,5,0,2,5,0,3,0,5,3,"Stepanov, Alexey G"
75496,2021-fa,STAT,420,Methods of Applied Statistics,4,17,14,4,11,4,6,3,0,0,0,0,0,3,"Deeke, Julie M"
85761,2021-fa,STAT,425,Statistical Modeling I,22,23,15,6,4,2,2,2,2,0,0,0,4,0,"Bravo De Guenni, Lelys"
52039,2021-fa,STAT,426,Statistical Modeling II,8,13,2,2,3,1,3,1,0,0,0,0,0,1,"Simpson, Douglas G"
43863,2021-fa,STAT,428,Statistical Computing,13,18,18,8,5,4,3,1,0,0,0,0,2,0,"Wang, Shulei"
30790,2021-fa,STAT,429,Time Series Analysis,0,6,8,3,8,3,0,1,2,0,1,0,3,0,"Lee, Hyoeun"
19684,2021-fa,STAT,430,Python in Data Science Program,6,19,6,0,6,2,1,8,1,1,1,0,4,0,"Nguyen, Ha Khanh"
63346,2021-fa,STAT,430,Fundamentals of Deep Learning,3,12,3,1,5,0,0,1,0,0,0,0,0,0,"Balamuta, James J"
53206,2021-fa,STAT,430,Unsupervised Learning,11,4,0,0,0,2,1,1,0,1,0,0,2,0,"Ellison, Victoria M"
75469,2021-fa,STAT,431,Applied Bayesian Analysis,2,6,13,4,7,1,1,0,0,0,0,0,0,0,"Park, Trevor H"
50027,2021-fa,STAT,432,Basics of Statistical Learning,11,57,11,10,8,5,2,5,1,2,3,0,5,3,"Zhu, Ruoqing"
41685,2021-fa,STAT,440,Statistical Data Management,0,59,0,0,5,0,0,2,0,0,1,0,2,0,"Kinson, Christopher L"
22587,2021-fa,STAT,443,Professional Statistics,1,18,6,3,6,1,0,2,0,0,0,0,0,0,"Glosemeyer, Darren W"
26636,2021-fa,STAT,447,Data Science Prog Methods,3,9,10,7,11,2,0,4,0,0,0,1,0,2,"Eddelbuettel, Dirk"
11099,2021-fa,STAT,510,Mathematical Statistics,2,6,9,9,3,3,0,0,0,0,0,0,1,0,"Chen, Xiaohui"
17251,2021-fa,STAT,527,Advanced Regression Analysis,11,13,3,1,0,1,0,0,0,0,0,0,0,0,"Liu, Jingbo"
92042,2021-fa,STAT,542,Statistical Learning,0,43,2,0,2,2,0,1,0,0,0,0,0,0,"Liang, Feng"
32305,2021-fa,STAT,571,Multivariate Analysis,6,10,5,4,4,0,3,0,0,0,0,0,0,0,"Park, Trevor H"
94485,2021-fa,TAM,195,Mechanics in the Modern World,8,11,10,5,4,1,0,0,0,1,1,0,1,0,"Johnson, Blake E"
28415,2021-fa,TAM,201,Mechanics for Technol & Mgmt,0,18,3,2,2,1,0,0,0,0,0,0,0,0,"Chang, Wayne"
17088,2021-fa,TAM,210,Introduction to Statics,7,41,14,15,19,15,2,8,1,3,4,0,4,1,"Chang, Wayne"
44054,2021-fa,TAM,211,Statics,4,29,13,21,23,11,11,11,1,3,4,2,7,0,"Chang, Wayne"
91076,2021-fa,TAM,212,Introductory Dynamics,6,32,35,25,23,20,18,8,5,6,3,3,7,3,"West, Matthew"
55626,2021-fa,TAM,251,Introductory Solid Mechanics,7,21,8,19,12,11,9,14,14,2,3,2,10,0,"Chang, Wayne"
87000,2021-fa,TAM,335,Introductory Fluid Mechanics,3,5,15,10,10,3,5,2,3,3,0,1,2,0,"Tang, Ke"
32181,2021-fa,TAM,461,Cellular Biomechanics,3,7,6,2,2,1,0,0,0,0,0,0,0,0,"Wang, Ning"
95603,2021-fa,TAM,470,Computational Mechanics,3,11,6,7,3,2,2,4,2,1,1,0,6,1,"Mercer, Brian S"
67820,2021-fa,TAM,541,Mathematical Methods I,0,50,0,9,7,14,0,2,0,0,0,0,0,2,"Mehta, Prashant G"
85595,2021-fa,TAM,551,Solid Mechanics I,7,5,6,3,2,1,1,0,2,0,0,0,0,0,"Sofronis, Petros"
43362,2021-fa,TE,200,Introduction to Innovation,3,15,2,1,1,0,0,1,0,0,0,0,1,1,"Jahnke, Keilin T"
63663,2021-fa,TE,250,From Idea to Enterprise,7,15,8,2,2,1,0,1,0,0,0,0,0,0,"Thode, John S"
91327,2021-fa,TE,333,"Creativity, Innovation, Vision",4,9,3,1,1,0,1,2,0,0,0,0,0,0,"Jahnke, Keilin T"
74511,2021-fa,TE,360,Lect in Engrg Entrepreneurship,8,25,4,0,4,0,0,0,0,0,0,0,0,0,"Harbourt, Christopher M"
10806,2021-fa,TE,450,"Startups:Inc,Fund,Contracts,IP",0,22,6,7,1,0,4,0,0,0,0,0,0,0,"Barich, Joseph M"
21257,2021-fa,TE,565,Technol Innovation & Strategy,0,17,2,2,0,0,0,0,0,0,0,0,0,2,"Chopra, Sanjiv"
31273,2021-fa,THEA,100,Practicum I,0,31,1,1,1,0,0,0,0,0,0,0,0,0,"Ciofalo, Terry A"
28991,2021-fa,THEA,101,Introduction to Theatre Arts,17,3,4,2,0,0,0,1,0,0,0,0,2,0,"Miller, Thomas J"
36910,2021-fa,THEA,110,Broadway Musicals,21,10,5,2,2,1,1,0,2,0,0,1,0,0,"Morrissette, Jason W"
26814,2021-fa,THEA,121,Foundations: Performance,0,19,9,0,3,0,0,0,0,0,0,0,0,0,"Sturgis, Nanka I"
55492,2021-fa,THEA,123,Foundations: Production,19,9,4,3,1,2,0,0,0,1,1,0,0,0,"Ciofalo, Terry A"
36161,2021-fa,THEA,263,Intro African American Theat,0,16,3,0,0,0,0,0,0,0,0,0,2,0,"Bright, Latrelle S"
68418,2021-fa,THEA,270,Relationships in Acting I,1,15,4,1,0,0,0,0,0,0,0,0,0,0,"Munoz, Aaron"
65729,2021-fa,THEA,360,History of Theatre I,7,4,1,3,3,1,0,8,3,1,0,1,2,0,"Pullen, Kirsten W"
10927,2021-fa,THEA,595,Creative Project,0,17,0,0,30,0,0,0,0,0,0,0,0,0,"Ciofalo, Terry A"
65816,2021-fa,TSM,100,Technical Systems in Agr,2,7,0,2,9,0,5,3,0,2,1,1,2,2,"Raveendran Nair, Gopu"
44077,2021-fa,TSM,103,Agric Machinery Technology,0,11,0,0,6,0,0,0,0,0,0,0,10,1,"Kuhns, Brendan M"
57390,2021-fa,TSM,130,Basics of CAD,6,10,2,2,2,1,1,0,0,0,0,0,1,0,"Tucker, Christina M"
32540,2021-fa,TSM,232,Materials and Construction Sys,3,16,0,5,7,0,2,2,0,4,0,0,1,0,"Raveendran Nair, Gopu"
33694,2021-fa,TSM,233,Metallurgy & Welding Process,13,24,0,6,7,0,2,0,0,0,0,1,0,0,"Raveendran Nair, Gopu"
64789,2021-fa,TSM,311,Humanity in the Food Web,42,21,6,7,5,1,1,1,0,0,1,0,7,1,"Green-Miller, Angela"
64709,2021-fa,TSM,352,Land and Water Mgt Systems,12,4,3,2,2,3,0,0,0,0,1,0,2,0,"Chu, Maria Librada"
94716,2021-fa,TSM,372,Environ Control & HVAC Systems,0,12,1,3,6,2,0,0,0,0,0,0,2,0,"Zhang, Yuanhui"
67266,2021-fa,UP,101,Introduction to City Planning,0,60,44,16,18,15,10,5,7,3,0,5,13,1,"Greenlee, Andrew J"
46273,2021-fa,UP,160,"Race, Social Justice, Cities",9,5,2,3,1,1,1,0,0,0,0,0,4,0,"Salo, Ken E"
76156,2021-fa,UP,203,Cities: Planning & Urban Life,1,13,4,7,2,2,0,2,0,0,0,0,2,0,"Kennedy, Sean F"
35171,2021-fa,UP,260,Social Inequality and Planning,10,2,1,1,1,1,1,0,0,1,0,1,6,1,"Salo, Ken E"
74010,2021-fa,UP,312,Communication for Planners,1,13,10,4,2,1,0,3,1,0,3,0,1,0,"Chakraborty, Arnab"
24219,2021-fa,UP,418,GIS for Planners,13,5,3,1,0,0,2,0,1,0,0,0,0,0,"Fang, Fang"
80290,2021-fa,UP,486,Planning with Climate Change,1,10,6,2,5,0,0,1,0,0,0,1,2,0,"Kennedy, Sean F"
51356,2021-fa,UP,494,Neighborhood Analysis,2,23,4,4,6,0,0,1,0,0,0,0,0,0,"Greenlee, Andrew J"
52195,2021-fa,UP,503,Physical Planning,2,25,1,0,1,0,0,0,0,0,0,0,0,0,"Allred, Dustin"
31942,2021-fa,UP,504,Urban History and Theory,7,16,6,3,1,0,0,0,0,0,0,0,0,0,"Novoa Echaurren, Magdalen"
72787,2021-fa,VCM,565,Livestock Biostatistics,0,18,0,0,4,0,1,0,0,0,0,0,0,0,"Blair, Benjamin W"
49366,2021-fa,VCM,672,Food Supply Disease Prevention,9,35,0,0,0,0,0,0,0,0,0,0,1,0,"Storms, Suzanna M"
64163,2021-fa,VM,602,Structure and Function I,0,38,0,0,45,0,0,36,0,0,15,0,1,0,"Mahoney, Megan M"
90542,2021-fa,VM,605,Pathobiology I,0,42,0,0,61,0,0,28,0,0,2,0,0,0,"Zuckermann, Federico A"
85974,2021-fa,VM,607,Pathobiology II,0,25,0,0,71,0,0,33,0,0,3,0,0,0,"Maddox, Carol W"
95345,2021-fa,VM,651,SA Medicine and Surgery I,0,13,0,0,69,0,0,39,0,0,3,0,1,0,"Ridgway, Marcella D"
52110,2021-fa,VM,652,LA Medicine and Surgery I,0,12,0,0,55,0,0,51,0,0,7,0,0,0,"Ridgway, Marcella D"
41557,2021-fa,VM,653,SA Medicine and Surgery II,0,7,0,0,51,0,0,50,0,0,15,0,1,0,"Ridgway, Marcella D"
